"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Colbert",1984,348,262,24,43,19,0,0,200,127,13,0,0,0,348,0,0
"Alabama","Cullman",1984,260,175,47,32,6,0,0,190,115,44,0,0,260,0,0,0
"Alabama","Etowah",1984,259,146,70,31,11,1,0,204,122,47,0,0,259,0,0,0
"Alabama","Jackson",1984,362,248,66,37,11,0,0,200,106,31,0,0,0,362,0,0
"Alabama","Jefferson",1984,366,219,125,19,3,0,0,174,89,45,176,0,190,0,0,0
"Alabama","Lauderdale",1984,330,261,32,30,7,0,0,200,106,13,0,0,0,330,0,0
"Alabama","Mobile",1984,321,175,82,56,8,0,0,177,120,48,0,0,206,115,0,0
"Alabama","Morgan",1984,253,230,20,3,0,0,0,121,50,14,0,0,0,253,0,0
"Alaska","Anchorage ",1984,366,202,124,28,4,8,0,213,108,45,346,0,19,1,0,0
"Alaska","Fairbanks North Star ",1984,184,105,71,7,1,0,0,154,84,45,184,0,0,0,0,0
"Arizona","Apache",1984,353,352,1,0,0,0,0,75,11,6,0,164,0,189,0,0
"Arizona","Cochise",1984,359,110,39,61,149,0,0,200,200,120,15,0,48,296,0,0
"Arizona","Coconino",1984,342,276,61,5,0,0,0,129,67,6,177,0,165,0,0,0
"Arizona","Gila",1984,366,45,73,121,127,0,0,200,200,119,0,0,0,366,0,0
"Arizona","Greenlee",1984,335,32,17,75,211,0,0,200,200,173,0,0,0,335,0,0
"Arizona","Maricopa",1984,366,34,163,107,56,6,0,211,164,97,194,24,147,1,0,0
"Arizona","Pima",1984,366,38,216,90,22,0,0,200,135,80,136,19,85,126,0,0
"Arizona","Pinal",1984,335,113,59,85,78,0,0,200,200,96,0,0,0,335,0,0
"Arizona","Yavapai",1984,342,316,25,1,0,0,0,115,48,14,163,0,179,0,0,0
"Arizona","Yuma",1984,319,264,47,7,1,0,0,185,71,5,166,0,153,0,0,0
"Arkansas","Pulaski",1984,366,258,77,27,4,0,0,164,97,40,0,54,309,3,0,0
"Arkansas","Union",1984,335,334,1,0,0,0,0,79,14,3,0,0,0,335,0,0
"California","Alameda",1984,366,254,79,20,10,3,0,214,100,42,33,181,152,0,0,0
"California","Butte",1984,366,288,72,6,0,0,0,125,61,38,85,127,154,0,0,0
"California","Colusa",1984,142,56,52,29,5,0,0,169,122,67,0,0,142,0,0,0
"California","Contra Costa",1984,366,232,98,25,10,1,0,212,100,44,13,183,143,27,0,0
"California","El Dorado",1984,366,86,242,30,8,0,0,190,103,66,282,1,83,0,0,0
"California","Fresno",1984,366,82,134,57,66,27,0,219,190,87,51,70,243,2,0,0
"California","Glenn",1984,153,84,55,13,1,0,0,156,100,48,0,0,153,0,0,0
