"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Calhoun",1996,53,53,0,0,0,0,0,37,25,17,0,0,0,0,0,53
"Alabama","Clay",1996,242,157,66,17,2,0,0,161,93,45,0,0,242,0,0,0
"Alabama","Colbert",1996,366,325,29,12,0,0,0,123,54,10,0,0,0,329,0,37
"Alabama","DeKalb",1996,225,147,56,16,6,0,0,182,100,41,0,0,207,0,0,18
"Alabama","Elmore",1996,236,164,62,9,1,0,0,174,84,44,0,0,236,0,0,0
"Alabama","Escambia",1996,60,60,0,0,0,0,0,46,35,21,0,0,0,0,0,60
"Alabama","Etowah",1996,59,58,1,0,0,0,0,52,37,22,0,0,0,0,0,59
"Alabama","Franklin",1996,60,60,0,0,0,0,0,46,29,17,0,0,0,0,0,60
"Alabama","Geneva",1996,238,199,39,0,0,0,0,90,58,39,0,0,238,0,0,0
"Alabama","Houston",1996,51,50,1,0,0,0,0,56,33,17,0,0,0,0,0,51
"Alabama","Jackson",1996,350,317,28,5,0,0,0,119,47,13,0,0,0,323,0,27
"Alabama","Jefferson",1996,366,229,102,20,11,4,0,217,100,46,56,0,192,47,0,71
"Alabama","Lawrence",1996,271,167,88,12,4,0,0,169,87,45,0,0,211,0,60,0
"Alabama","Limestone",1996,35,35,0,0,0,0,0,47,31,17,0,0,0,0,0,35
"Alabama","Madison",1996,366,226,107,29,4,0,0,169,97,44,10,0,335,0,0,21
"Alabama","Marengo",1996,60,59,1,0,0,0,0,51,32,19,0,0,0,0,0,60
"Alabama","Mobile",1996,344,187,77,66,14,0,0,183,131,47,0,0,135,174,0,35
"Alabama","Montgomery",1996,366,336,27,3,0,0,0,140,48,31,5,33,205,8,0,115
"Alabama","Morgan",1996,250,155,72,16,7,0,0,200,100,46,0,0,227,2,0,21
"Alabama","Pike",1996,60,60,0,0,0,0,0,48,32,18,0,0,0,0,0,60
